Author|Title|Publishing Date|author_wikidata_id|date_birth|date_death|author_description|origin|birth_place|gender|author_image|occupation
Robert Lewis Dabney|Life and Commands of Lieutenand- General Thomas J. Jackson|1866|http://www.wikidata.org/entity/Q7346881|5/3/1820|3/1/1898|American theologian|United States of America|-|male|http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20of%20Robert%20Lewis%20Dabney.jpg|architect, theologian, biographer
Jefferson Davis|The Rise and Fall of the Confederate Government|1881|http://www.wikidata.org/entity/Q162269|3/6/1808|6/12/1889|President of the Confederate States (in office from 1861 to 1865)|United States of America|Fairview|male|http://commons.wikimedia.org/wiki/Special:FilePath/President-Jefferson-Davis.jpg|businessperson, politician, military officer
Jefferson Davis|The Rise and Fall of the Confederate Government_PART_2|1881|http://www.wikidata.org/entity/Q162269|3/6/1808|6/12/1889|President of the Confederate States (in office from 1861 to 1865)|Confederate States of America|Fairview|male|http://commons.wikimedia.org/wiki/Special:FilePath/President-Jefferson-Davis.jpg|political writer, slaveholder
Varina Davis|Jefferson Davis: Ex-President of the Confederate States of America, A Memoir by his Wife, Volume 1|1890|http://www.wikidata.org/entity/Q457993|7/5/1826|16/10/1906|First Lady of the Confederate States|United States of America|Natchez|female|http://commons.wikimedia.org/wiki/Special:FilePath/Varina%20Howell.jpg|writer, journalist
Varina Davis|Jefferson Davis: Ex-President of the Confederate States of America, A Memoir by his Wife, Volume 2|1890|http://www.wikidata.org/entity/Q457993|7/5/1826|16/10/1906|First Lady of the Confederate States|United States of America|Natchez|female|http://commons.wikimedia.org/wiki/Special:FilePath/Varina%20Howell.jpg|writer, journalist
Thomas C. DeLeon|Four years in Rebel capitals: an inside view of life in the southern confederacy, from birth to death.|1890|-|-|-|-|-|-|-|-|-
Col. J. J. Dickison|Confederate Military History, a library of Confederate States Military History: Volume 11.2, Florida|1899|-|-|-|-|-|-|-|-|-
John Dimitry, A. M.|Confederate Military History, a library of Confederate States Military History: Volume 10.1, Louisiana|1899|-|-|-|-|-|-|-|-|-
William Hepworth Dixon|White Conquest: Volume 1|1875|http://www.wikidata.org/entity/Q823245|30/6/1821|27/12/1879|English historian and traveller|United Kingdom of Great Britain and Ireland|Manchester|male|http://commons.wikimedia.org/wiki/Special:FilePath/William%20Hepworth%20Dixon%20ca.%201868.jpg|writer
William Hepworth Dixon|White Conquest: Volume 2|1875|http://www.wikidata.org/entity/Q823245|30/6/1821|27/12/1879|English historian and traveller|United Kingdom of Great Britain and Ireland|Manchester|male|http://commons.wikimedia.org/wiki/Special:FilePath/William%20Hepworth%20Dixon%20ca.%201868.jpg|writer
Jubal Anderson Early; Ruth Hairston Early|Lieutenant General Jubal A. Early , C. S. A.|1912|http://www.wikidata.org/entity/Q257497|3/11/1816|2/3/1894|Confederate Army general, lawyer and politician|United States of America|Franklin County|male|http://commons.wikimedia.org/wiki/Special:FilePath/JubalEarly.jpeg|lawyer, politician, military personnel
Luis F. Emilio|History of the Fifty-Fourth Regiment of Massachusetts Volunteer Infantry , 1863-1865|1894|http://www.wikidata.org/entity/Q6700534|22/12/1844|16/9/1918|Union Army officer|United States of America|-|male|https://commons.wikimedia.org/wiki/File:Emilio-1-258x306.jpg|-
Arthur J. Fremantle|Three Months in the Southern States|1864|-|-|-|-|-|-|-|-|-
Margaret Fuller|Memoirs of Margaret Fuller Ossoli|1852|http://www.wikidata.org/entity/Q257953|23/5/1810|19/7/1850|American feminist, poet, author, and activist|United States of America|Cambridge|female|http://commons.wikimedia.org/wiki/Special:FilePath/FullerDaguerreotype.jpg|critic, philosopher, writer, journalist, essayist, translator, autobiographer, reporter, feminist
Francis Jackson Garrison|William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 1|1889|-|-|-|-|-|-|-|-|-
Francis Jackson Garrison|William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 2|1889|-|-|-|-|-|-|-|-|-
Francis Jackson Garrison|William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 3|1889|-|-|-|-|-|-|-|-|-
Francis Jackson Garrison|William Lloyd Garrison, 1805-1879; the story of his life told by his children: volume 4|1889|-|-|-|-|-|-|-|-|-
John James Geer|Beyond the lines: A Yankee prisoner loose in Dixie|1864|-|-|-|-|-|-|-|-|-
George P. Rowell|George P. Rowell and Company's American Newspaper Directory, containing accurate lists of all the newspapers and periodicals published in the United States and territories, and the dominion of Canada, and British Colonies of North America., together with a description of the towns and cities in which they are published.|1869|http://www.wikidata.org/entity/Q5543133|4/7/1838|28/8/1908|advertising executive and publisher, founder of Printer's Ink|United States of America|-|male|-|businessperson
George Gordon|From Brook Farm to Cedar Mountain|1883|http://www.wikidata.org/entity/Q452920|5/10/1836|9/8/1911|Civil War general|United States of America|-|male|https://commons.wikimedia.org/wiki/File:George%20Washington%20Gordon.jpg|lawyer, politicain
Ulysses S. Grant|Personal Memoirs of U. S. Grant|1885|http://www.wikidata.org/entity/Q34836|27/4/1822|23/7/1885|Union general, politician and 18th President of the United States|United States of America|Point Pleasant|male|http://commons.wikimedia.org/wiki/Special:FilePath/Ugrant.jpeg|military leader, politician, statesperson
Horace Greeley|The American Conflict: A History of the Great Rebellion in the United States of America, 1860-65: its Causes, Incidents, and Results: Intended to exhibit especially its moral and political phases with the drift and progress of American opinion respecting human slavery from 1776 to the close of the War for the Union. Volume I.|1866|http://www.wikidata.org/entity/Q436790|3/2/1811|29/11/1872|American politician and publisher|United States of America|Amherst|male|http://commons.wikimedia.org/wiki/Special:FilePath/Horace%20Greeley%20restored.jpg|editor, politician, publisher, journalist
Horace Greeley|The American Conflict: A History of the Great Rebellion in the United States of America, 1860-65: its Causes, Incidents, and Results: Intended to exhibit especially its moral and political phases with the drift and progress of American opinion respecting human slavery from 1776 to the close of the War for the Union. Volume II.|1866|http://www.wikidata.org/entity/Q436790|3/2/1811|29/11/1872|American politician and publisher|United States of America|Amherst|male|http://commons.wikimedia.org/wiki/Special:FilePath/Horace%20Greeley%20restored.jpg|editor, politician, publisher, journalist
Archibald Grimke|William Lloyd Garrison the Abolitionist|1889|http://www.wikidata.org/entity/Q4786341|17/8/1849|25/2/1930|American lawyer and diplomat|United States of America|-|male|https://commons.wikimedia.org/wiki/File:Archibald%20Grimk%C3%A9.jpg|lawyer, journalist, diplomat
Parthenia Antoinette Hague|A blockaded family: Life in southern Alabama during the war|1888|-|-|-|-|-|-|-|-|-
Henry W. Halleck|Elements of Military Art and Science; or, Course of Instruction in Strategy, Fortification, Tactis of Battles &c., Embracing the Duties of Staff, Infantry, Cavalry, Artillery and Engineers. Adapted to the Use of Volunteers and Militia.|1846|-|-|-|-|-|-|-|-|-
Benson Lossing|Harper's Encyclopedia of United States History|1902|-|-|-|-|-|-|-|-|-
Col. John M. Harrell|Confederate Military History, a library of Confederate States Military History: Volume 10.2, Arkansas|1899|-|-|-|-|-|-|-|-|-
William H. Herndon; Jesse William Weik|Herndon's Lincoln: The True Story of a Great Life, Etiam in minimis major, The History and Personal Recollections of Abraham Lincoln by William H. Herndon, for twenty years his friend and Jesse William Weik|1888|http://www.wikidata.org/entity/Q5931592|25/12/1818|18/3/1891|law partner and biographer of Abraham Lincoln|United States of America|Greensburg|male|http://commons.wikimedia.org/wiki/Special:FilePath/William%20Herndon.jpg|lawyer, politician, biographer
Mary Thacher Higginson|Thomas Wentworth Higginson: the story of his life|1914|-|-|-|-|-|-|-|-|-
Thomas Wentworth Higginson|Army Life in a Black Regiment|1870|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Atlantic Essays|1874|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Book and heart: essays on literature and life|1897|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|A book of American explorers|1877|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Carlyle's laugh and other surprises|1909|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Cheerful Yesterdays|1898|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Harvard Memorial Biographies|1866|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Henry Wadsworth Longfellow|1902|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson; Irene E. Jerome.|In a fair country|1890|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|John Greenleaf Whittier|1902|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Letters and Journals of Thomas Wentworth Higginson|1921|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Margaret Fuller Ossoli|1890|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Massachusetts in the Army and Navy during the war of 1861-1865, vol. 1: prelminary narrative|1895|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Massachusetts in the Army and Navy during the war of 1861-1865, vol. 2|1895|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|The new world and the new book|1892|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Olde Cambridge|1900|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Oldport days, with ten heliotype illustrations from views taken in Newport, R. I., expressly for this work.|1873|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson; Henry Walcott Boynton|Reader's History of American Literature|1903|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Short studies of American authors|1880|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Thomas Wentworth Higginson|Women and Men|1888|http://www.wikidata.org/entity/Q707838|22/12/1823|9/5/1911|Union United States Army officer|United States of America|Cambridge|male|http://commons.wikimedia.org/wiki/Special:FilePath/TWHigginson.jpg|politician, writer, poet
Daniel Harvey Hill Jr.|Confederate Military History, a library of Confederate States Military History: Volume 4, North Carolina|1899|-|-|-|-|-|-|-|-|-
George S. Hillard|Life and Campaigns of George B. McClellan, Major-General , U. S. Army|1864|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 1, April, 1902 - January, 1903|1903|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 2, April, 1903 - January, 1904|1904|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 3, April, 1904 - January, 1905|1905|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 4, April, 1905 - January, 1906|1906|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 5, April, 1906 - January, 1907|1907|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 6, April, 1907 - January, 1908|1908|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 7, April, 1908 - January, 1909|1909|-|-|-|-|-|-|-|-|-
Somerville Historical Society|Historic leaves, volume 8, April, 1909 - January, 1910|1910|-|-|-|-|-|-|-|-|-
Medford Historical Society|History of the First Universalist Church in Somerville, Mass. Illustrated; a souvenir of the fiftieth anniversary celebrated February 15-21, 1904|1905|-|-|-|-|-|-|-|-|-
Charles Brooks|HISTORY OF THE TOWN OF MEDFORD, Middlesex County, Massachusetts, FROM ITS FIRST SETTLEMENT, IN 1630, TO THE PRESENT TIME, 1855.|1855|http://www.wikidata.org/entity/Q1063813|24/2/1844|7/12/1899|American politician|United States of America|-|male|-|politician
